T1,2024-12-14 03:08:49.986621,2024-12-14 03:08:49.822880
T2,2024-12-14 03:08:51.101475,2024-12-14 03:08:49.822880
T3,2024-12-14 03:08:52.213892,2024-12-14 03:08:49.822880
T4,2024-12-14 03:08:53.327149,2024-12-14 03:08:49.822880
T5,2024-12-14 03:08:54.439836,2024-12-14 03:08:49.822880
T6,2024-12-14 03:08:55.553462,2024-12-14 03:08:49.822880
T7,2024-12-14 03:08:56.667633,2024-12-14 03:08:49.822880
T8,2024-12-14 03:08:57.778257,2024-12-14 03:08:49.822880
T9,2024-12-14 03:08:58.888895,2024-12-14 03:08:49.822880
T10,2024-12-14 03:08:59.997639,2024-12-14 03:08:49.822880
T11,2024-12-14 03:10:40.095356,2024-12-14 03:10:39.828398
T12,2024-12-14 03:10:41.211158,2024-12-14 03:10:39.828398
T13,2024-12-14 03:10:42.326515,2024-12-14 03:10:39.828398
T14,2024-12-14 03:10:43.443180,2024-12-14 03:10:39.828398
T15,2024-12-14 03:10:44.558494,2024-12-14 03:10:39.828398
T16,2024-12-14 03:10:45.675716,2024-12-14 03:10:39.828398
T17,2024-12-14 03:10:46.792277,2024-12-14 03:10:39.828398
T18,2024-12-14 03:10:47.908861,2024-12-14 03:10:39.828398
T19,2024-12-14 03:10:49.024044,2024-12-14 03:10:39.828398
T20,2024-12-14 03:10:50.137493,2024-12-14 03:10:39.828398
T21,2024-12-14 03:10:51.253711,2024-12-14 03:10:39.828398
T22,2024-12-14 03:10:52.371234,2024-12-14 03:10:39.828398
T23,2024-12-14 03:10:53.487857,2024-12-14 03:10:39.828398
T24,2024-12-14 03:10:54.604049,2024-12-14 03:10:39.828398
T25,2024-12-14 03:10:55.721122,2024-12-14 03:10:39.828398
T26,2024-12-14 03:10:56.834996,2024-12-14 03:10:39.828398
T27,2024-12-14 03:10:57.949593,2024-12-14 03:10:39.828398
T28,2024-12-14 03:10:59.067079,2024-12-14 03:10:39.828398
T29,2024-12-14 03:11:00.184249,2024-12-14 03:10:39.828398
T30,2024-12-14 03:11:01.298488,2024-12-14 03:10:39.828398
T31,2024-12-14 03:12:40.189691,2024-12-14 03:12:39.882910
T32,2024-12-14 03:12:41.303975,2024-12-14 03:12:39.882910
T33,2024-12-14 03:12:42.419771,2024-12-14 03:12:39.882910
T34,2024-12-14 03:12:43.535943,2024-12-14 03:12:39.882910
